distFD_cruda_m;distFI_cruda_m;distMin_cruda_m;distFD_EMA_m;distFI_EMA_m;distMin_EMA_m;pred_kalman_m;dist_kalman_m;K_kalman;P_kalman;AvanceLineal_m;timestamp_s
0.098504;0.098438;0.098438;0.098395;0.098414;0.098395;0.098368;0.098374;0.227008;0.000341;0.0;26.4
0.098231;0.098252;0.098231;0.098282;0.09836;0.098282;0.098342;0.098328;0.227008;0.000341;0.0;26.528
0.098237;0.098407;0.098237;0.098329;0.098355;0.098329;0.098326;0.098326;0.227008;0.000341;0.0;26.656
0.098338;0.098341;0.098338;0.098338;0.098352;0.098338;0.098326;0.098329;0.227008;0.000341;0.0;26.784
0.098253;0.098342;0.098253;0.098354;0.098313;0.098313;0.098311;0.098312;0.227008;0.000341;0.0;26.912
0.098356;0.098521;0.098356;0.09837;0.0984;0.09837;0.098319;0.09833;0.227008;0.000341;0.0;27.04
0.098357;0.098437;0.098357;0.098379;0.098391;0.098379;0.098359;0.098363;0.227008;0.000341;0.0;27.168
0.098398;0.098247;0.098247;0.098352;0.098349;0.098349;0.09836;0.098357;0.227008;0.000341;0.0;27.296
0.098384;0.098248;0.098248;0.098332;0.098309;0.098309;0.098341;0.098334;0.227008;0.000341;0.0;27.424
0.098339;0.098481;0.098339;0.098331;0.09842;0.098331;0.098333;0.098332;0.227008;0.000341;0.0;27.552
0.098364;0.098315;0.098315;0.098381;0.098341;0.098341;0.098346;0.098345;0.227008;0.000341;0.0;27.68
0.098408;0.098393;0.098393;0.098356;0.098389;0.098356;0.098335;0.09834;0.227008;0.000341;0.0;27.808
0.098543;0.09827;0.09827;0.098433;0.098343;0.098343;0.098361;0.098357;0.227008;0.000341;0.0;27.936
0.098327;0.098325;0.098325;0.098388;0.098342;0.098342;0.098348;0.098347;0.227008;0.000341;0.0;28.064
0.098306;0.098288;0.098288;0.098356;0.098377;0.098356;0.098347;0.098349;0.227008;0.000341;0.0;28.192
0.098334;0.098252;0.098252;0.098394;0.098305;0.098305;0.098353;0.098342;0.227008;0.000341;0.0;28.32
0.09844;0.098414;0.098414;0.098424;0.098361;0.098361;0.098323;0.098332;0.227008;0.000341;0.0;28.448
0.098325;0.098138;0.098138;0.09833;0.098307;0.098307;0.098341;0.098333;0.227008;0.000341;0.0;28.576
0.098293;0.098431;0.098293;0.098327;0.098355;0.098327;0.098324;0.098325;0.227008;0.000341;0.0;28.704
0.098455;0.098423;0.098423;0.098402;0.098425;0.098402;0.098347;0.098359;0.227008;0.000341;0.0;28.832
0.098315;0.09831;0.09831;0.098347;0.098371;0.098347;0.09837;0.098365;0.227008;0.000341;0.0;28.96
