PoseX_m;PoseY_m;PosePhi_rad;IndiceWaypoint;WP_X_m;WP_Y_m;DistWaypoint_m;ErrorAngular_rad;EstadoArbitro;timestamp_s
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;23.072
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;23.2
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;23.328
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;23.456
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;23.584
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;23.712
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;23.84
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;23.968
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;24.096
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;24.224
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;24.352
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;24.48
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;24.608
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;24.736
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;24.864
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;24.992
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;25.12
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;25.248
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;25.376
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;25.504
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;25.632
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;25.76
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;25.888
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;26.016
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;26.144
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;26.272
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;26.4
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;26.528
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;26.656
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;26.784
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;26.912
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;27.04
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;27.168
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;27.296
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;27.424
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;27.552
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;27.68
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;27.808
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;27.936
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;28.064
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;28.192
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;28.32
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;28.448
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;28.576
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;28.704
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;28.832
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;28.96
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;29.088
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;29.216
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;29.344
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;29.472
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;29.6
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;29.728
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;29.856
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;29.984
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;30.112
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;30.24
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;30.368
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;30.496
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;30.624
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;30.752
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;30.88
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;31.008
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;31.136
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;31.264
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;31.392
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;31.52
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;31.648
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;31.776
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;31.904
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;32.032
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;32.16
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;32.288
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;32.416
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;32.544
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;32.672
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;32.8
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;32.928
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;33.056
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;33.184
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;33.312
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;33.44
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;33.568
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;33.696
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;33.824
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;33.952
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;34.08
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;34.208
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;34.336
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;34.464
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;34.592
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;34.72
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;34.848
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;34.976
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;35.104
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;35.232
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;35.36
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;35.488
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;35.616
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;35.744
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;35.872
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;36.0
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;36.128
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;36.256
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;36.384
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;36.512
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;36.64
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;36.768
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;36.896
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;37.024
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;37.152
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;37.28
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;37.408
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;37.536
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;37.664
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;37.792
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;37.92
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;38.048
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;38.176
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;38.304
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;38.432
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;38.56
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;38.688
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;38.816
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;38.944
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;39.072
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;39.2
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;39.328
0.4173;0.414441;0.827486;1;0.45;0.45;0.048308;-0.000228;meta;39.456
