ps0_FD;ps1_DD;ps2_LD;ps3_TD;ps4_TI;ps5_LI;ps6_DI;ps7_FI;Theta_Izq_rad;Theta_Der_rad;DeltaS_Izq_m;DeltaS_Der_m;AvanceLineal_m;GiroAngular_rad;VelLineal_ms;VelAngular_rads;timestamp_s
71.045685;71.873461;64.752909;70.379377;69.595398;68.481788;66.623226;65.42403;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;164.384
66.066164;66.67246;67.882674;58.884254;72.489276;73.122389;71.773913;67.872764;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;164.512
65.740822;61.247659;72.347821;66.249203;68.88617;69.63466;65.729047;68.390758;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;164.64
65.426902;64.152354;69.359744;61.725185;69.344643;65.821892;66.53324;67.069527;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;164.768
67.93813;68.18993;72.99455;69.099127;70.915006;67.643692;67.69255;67.16266;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;164.896
61.845197;70.074999;65.363097;67.787171;69.39502;64.54012;67.67908;64.348752;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;165.024
65.776386;64.805034;72.549598;65.020791;68.62491;68.291476;70.618835;73.983027;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;165.152
67.901617;63.839324;68.319865;67.24794;61.367402;64.338074;62.86237;65.752216;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;165.28
72.568474;65.92243;70.050036;74.716777;65.467449;70.565254;69.833135;64.349518;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;165.408
66.779313;63.635036;63.147465;62.518323;66.081561;69.940264;58.261392;63.293147;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;165.536
67.064141;60.556747;69.537974;69.52887;68.058617;64.197886;67.074958;68.831659;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;165.664
67.595591;72.760274;68.766626;67.344729;66.009333;64.499376;69.741389;68.526022;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;165.792
67.742922;67.071744;68.075598;58.326842;61.733773;69.247371;69.415225;65.413919;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;165.92
66.753252;63.497855;66.098892;70.001915;70.85514;68.417865;65.240338;65.890929;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;166.048
63.008633;63.552552;67.40388;65.851742;65.021607;72.436046;71.876727;68.792778;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;166.176
71.955082;69.177029;70.670329;65.109778;66.572866;65.33118;68.645167;72.566703;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;166.304
68.890321;65.617958;71.922734;58.785042;63.388527;70.415125;61.952411;67.405253;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;166.432
61.253369;65.213206;67.76738;70.005999;64.546287;65.772589;64.802241;73.046877;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;166.56
64.838969;61.640139;68.951629;65.974283;64.587942;76.356712;70.953382;68.834472;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;166.688
69.998186;65.324701;66.6619;64.019863;67.635446;65.021448;69.296241;68.891911;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;166.816
63.048209;74.071692;73.598685;64.426228;72.280965;65.506269;68.602498;70.64553;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;166.944
60.933752;69.561223;67.0728;67.355694;69.495186;65.356541;66.477339;64.645591;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;167.072
62.228806;67.321172;61.223298;68.597439;67.057129;67.192854;66.409485;71.314205;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;167.2
64.780082;66.644979;62.137563;65.950927;66.873833;68.685644;72.306836;69.454876;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;167.328
68.245755;65.497703;72.889894;67.115988;69.551005;65.572095;67.527208;66.319793;60.08704;60.1938;0.0;0.0;0.0;0.0;0.0;0.0;167.456
